,air.pollutant
1,6.915833333
3,7.115833333
4,7.215833333
6,7.415833333
7,7.515833333
9,7.715833333
10,7.815833333
12,8.015833333
14,8.215833333
15,8.315833333
17,8.515833333
18,8.615833333
20,8.815833333
22,9.015833333
23,9.115833333
25,9.315833333
26,9.415833333
28,9.615833333
29,9.715833333
31,9.915833333
33,10.11583333
34,10.21583333
36,10.41583333
37,10.51583333
39,10.71583333
40,10.81583333
42,11.01583333
44,11.21583333
45,11.31583333
47,11.51583333
48,11.61583333
50,11.81583333
52,12.01583333
53,12.11583333
55,12.31583333
56,12.41583333
58,12.61583333
59,12.71583333
61,12.91583333
63,13.11583333
64,13.21583333
66,13.41583333
67,13.51583333
69,13.71583333
71,13.91583333
72,14.01583333
74,14.21583333
75,14.31583333
77,14.51583333
78,14.61583333
80,14.81583333
82,15.01583333
83,15.11583333
85,15.31583333
86,15.41583333
88,15.61583333
89,15.71583333
91,15.91583333
93,16.11583333
94,16.21583333
96,16.41583333
97,16.51583333
99,16.71583333
101,16.91583333
102,17.01583333
104,17.21583333
105,17.31583333
107,17.51583333
108,17.61583333
110,17.81583333
112,18.01583333
113,18.11583333
115,18.31583333
116,18.41583333
118,18.61583333
120,18.81583333
121,18.91583333
123,19.11583333
124,19.21583333
126,19.41583333
127,19.51583333
129,19.71583333
131,19.91583333
132,20.01583333
134,20.21583333
135,20.31583333
137,20.51583333
138,20.61583333
140,20.81583333
142,21.01583333
143,21.11583333
145,21.31583333
146,21.41583333
148,21.61583333
150,21.81583333
151,21.91583333
153,22.11583333
154,22.21583333
156,22.41583333
157,22.51583333
159,22.71583333
