CC,AP
CC1,6.733448351
CC2,6.833448351
CC3,6.933448351
CC5,7.133448351
CC6,7.233448351
CC8,7.433448351
CC9,7.533448351
CC11,7.733448351
CC12,7.833448351
CC13,7.933448351
CC15,8.133448351
CC16,8.233448351
CC18,8.433448351
CC19,8.533448351
CC21,8.733448351
CC22,8.833448351
CC23,8.933448351
CC25,9.133448351
CC26,9.233448351
CC28,9.433448351
CC29,9.533448351
CC31,9.733448351
CC32,9.833448351
CC33,9.933448351
CC35,10.13344835
CC36,10.23344835
CC38,10.43344835
CC39,10.53344835
CC41,10.73344835
CC42,10.83344835
CC43,10.93344835
CC45,11.13344835
CC46,11.23344835
CC48,11.43344835
CC49,11.53344835
CC51,11.73344835
CC52,11.83344835
CC53,11.93344835
CC55,12.13344835
CC56,12.23344835
CC58,12.43344835
CC59,12.53344835
CC61,12.73344835
CC62,12.83344835
CC63,12.93344835
CC65,13.13344835
CC66,13.23344835
CC68,13.43344835
CC69,13.53344835
CC71,13.73344835
CC72,13.83344835
CC73,13.93344835
CC75,14.13344835
CC76,14.23344835
CC78,14.43344835
CC79,14.53344835
CC81,14.73344835
CC82,14.83344835
CC83,14.93344835
CC85,15.13344835
CC86,15.23344835
CC88,15.43344835
CC89,15.53344835
CC91,15.73344835
CC92,15.83344835
CC93,15.93344835
CC95,16.13344835
CC96,16.23344835
CC98,16.43344835
CC99,16.53344835
CC101,16.73344835
CC102,16.83344835
CC103,16.93344835
CC105,17.13344835
CC106,17.23344835
CC108,17.43344835
CC109,17.53344835
CC111,17.73344835
CC112,17.83344835
CC113,17.93344835
CC115,18.13344835
CC116,18.23344835
CC118,18.43344835
CC119,18.53344835
CC121,18.73344835
CC122,18.83344835
CC123,18.93344835
CC125,19.13344835
CC126,19.23344835
CC128,19.43344835
CC129,19.53344835
CC131,19.73344835
CC132,19.83344835
CC133,19.93344835
CC135,20.13344835
CC136,20.23344835
CC138,20.43344835
CC139,20.53344835
CC141,20.73344835
CC142,20.83344835
CC143,20.93344835
