location,mu,coef,stderr,tau,wt,model_function
0,0.000039,0.0072068,0.000844126,0.1,0.000125889,z*logit
25,3.850629523,0.006096908,0.000727287,0.1,3.37E-05,z*logit
50,5.775682166,0.005339772,0.000698729,0.1,8.78E-08,z*logit
75,7.634997952,0.004852339,0.000760593,0.1,1.27E-11,z*logit
0,1.000039,0.042779003,0.004663725,0.1,0.044370565,log(z)*logit
25,4.850629523,0.030729191,0.003319049,0.1,0.084599687,log(z)*logit
50,6.775682166,0.025910352,0.003051237,0.1,8.61E-05,log(z)*logit
75,8.634997952,0.023853834,0.003333742,0.1,2.41E-09,log(z)*logit
0,0.000039,0.006989605,0.000835575,0.2,2.87E-05,z*logit
25,3.850629523,0.006545698,0.000824844,0.2,8.51E-07,z*logit
50,5.775682166,0.006428363,0.000860975,0.2,2.28E-08,z*logit
75,7.634997952,0.006514441,0.000952826,0.2,2.53E-10,z*logit
0,1.000039,0.041000774,0.004472051,0.2,0.03872146,log(z)*logit
25,4.850629523,0.035697948,0.004024975,0.2,0.002332319,log(z)*logit
50,6.775682166,0.034280885,0.004074578,0.2,4.33E-05,log(z)*logit
75,8.634997952,0.034553927,0.004447017,0.2,2.32E-07,log(z)*logit
30,5.210766498,0.029659036,0.003233854,0.1,0.037215452,log(z)*logit
20,4.476020821,0.031897767,0.003422153,0.1,0.154421615,log(z)*logit
15,4.039192787,0.033312726,0.003558856,0.1,0.22891045,log(z)*logit
10,3.416342335,0.035385399,0.003778278,0.1,0.24763462,log(z)*logit
5,2.633483169,0.037990015,0.004077838,0.1,0.161475057,log(z)*logit
,,0.007432033,0.000877539,,,pure linear
,,0.098005917,0.010956153,,,pure log
