CC,AP
CC1,3.9
CC2,4
CC3,4.1
CC4,4.2
CC5,4.3
CC6,4.4
CC8,4.6
CC9,4.7
CC10,4.8
CC11,4.9
CC12,5
CC14,5.2
CC15,5.3
CC16,5.4
CC17,5.5
CC18,5.6
CC20,5.8
CC21,5.9
CC22,6
CC23,6.1
CC24,6.2
CC26,6.4
CC27,6.5
CC28,6.6
CC29,6.7
CC30,6.8
CC32,7
CC33,7.1
CC34,7.2
CC35,7.3
CC36,7.4
CC38,7.6
CC39,7.7
CC40,7.8
CC41,7.9
CC42,8
CC44,8.2
CC45,8.3
CC46,8.4
CC47,8.5
CC48,8.6
CC50,8.8
CC51,8.9
CC52,9
CC53,9.1
CC54,9.2
CC56,9.4
CC57,9.5
CC58,9.6
CC59,9.7
CC60,9.8
CC62,10
CC63,10.1
CC64,10.2
CC65,10.3
CC66,10.4
CC68,10.6
CC69,10.7
CC70,10.8
CC71,10.9
CC72,11
CC74,11.2
CC75,11.3
CC76,11.4
CC77,11.5
CC78,11.6
CC80,11.8
CC81,11.9
CC82,12
CC83,12.1
CC84,12.2
CC86,12.4
CC87,12.5
CC88,12.6
CC89,12.7
CC90,12.8
CC92,13
CC93,13.1
CC94,13.2
CC95,13.3
CC96,13.4
CC98,13.6
CC99,13.7
CC100,13.8
CC101,13.9
CC102,14
CC104,14.2
CC105,14.3
CC106,14.4
CC107,14.5
CC108,14.6
CC110,14.8
CC111,14.9
CC112,15
CC113,15.1
CC114,15.2
CC116,15.4
CC117,15.5
CC118,15.6
CC119,15.7
CC120,15.8
