location,mu,coef,stderr,tau,wt,model_function
0,4.44E-16,0.011338099,0.003332109,0.1,0.003296724,z*logit
25,2.699999,0.010558679,0.003043459,0.1,0.004134771,z*logit
50,5.2,0.010902014,0.002827738,0.1,0.016664119,z*logit
75,8.499999,0.014449388,0.003268968,0.1,0.157414304,z*logit
0,4.44E-16,0.0425344,0.017426856,0.1,0.000200731,log(z)*logit
25,2.699999,0.036468042,0.013815903,0.1,0.000331608,log(z)*logit
50,5.2,0.041326382,0.012082298,0.1,0.003486605,log(z)*logit
75,8.499999,0.061878159,0.014310083,0.1,0.106051604,log(z)*logit
0,4.44E-16,0.011554337,0.003285711,0.2,0.004865505,z*logit
25,2.699999,0.011771972,0.003200431,0.2,0.008633349,z*logit
50,5.2,0.01288025,0.003269981,0.2,0.022861049,z*logit
75,8.499999,0.017379439,0.004038748,0.2,0.097263639,z*logit
0,4.44E-16,0.045417527,0.016700539,0.2,0.000411913,log(z)*logit
25,2.699999,0.046257541,0.015172716,0.2,0.00106005,log(z)*logit
50,5.2,0.05218585,0.01484573,0.2,0.004837004,log(z)*logit
75,8.499999,0.074327241,0.018084842,0.2,0.044582645,log(z)*logit
80,9.2,0.016115214,0.003594482,0.1,0.20187991,z*logit
70,8.2,0.013868793,0.003167617,0.1,0.132700158,z*logit
85,10.2,0.019780772,0.004416663,0.1,0.189324287,z*logit
,,0.011824243,0.003438649,,,pure linear
,,0.090062426,0.031168678,,,pure log
