CC,AP
CC1,2.366666717
CC2,2.466666717
CC3,2.566666717
CC4,2.666666717
CC5,2.766666717
CC6,2.866666717
CC7,2.966666717
CC8,3.066666717
CC9,3.166666717
CC10,3.266666717
CC11,3.366666717
CC12,3.466666717
CC13,3.566666717
CC14,3.666666717
CC15,3.766666717
CC16,3.866666717
CC17,3.966666717
CC19,4.166666717
CC20,4.266666717
CC21,4.366666717
CC22,4.466666717
CC23,4.566666717
CC24,4.666666717
CC25,4.766666717
CC26,4.866666717
CC27,4.966666717
CC28,5.066666717
CC29,5.166666717
CC30,5.266666717
CC31,5.366666717
CC32,5.466666717
CC33,5.566666717
CC34,5.666666717
CC35,5.766666717
CC37,5.966666717
CC38,6.066666717
CC39,6.166666717
CC40,6.266666717
CC41,6.366666717
CC42,6.466666717
CC43,6.566666717
CC44,6.666666717
CC45,6.766666717
CC46,6.866666717
CC47,6.966666717
CC48,7.066666717
CC49,7.166666717
CC50,7.266666717
CC51,7.366666717
CC52,7.466666717
CC53,7.566666717
CC55,7.766666717
CC56,7.866666717
CC57,7.966666717
CC58,8.066666717
CC59,8.166666717
CC60,8.266666717
CC61,8.366666717
CC62,8.466666717
CC63,8.566666717
CC64,8.666666717
CC65,8.766666717
CC66,8.866666717
CC67,8.966666717
CC68,9.066666717
CC69,9.166666717
CC70,9.266666717
CC72,9.466666717
CC73,9.566666717
CC74,9.666666717
CC75,9.766666717
CC76,9.866666717
CC77,9.966666717
CC78,10.06666672
CC79,10.16666672
CC80,10.26666672
CC81,10.36666672
CC82,10.46666672
CC83,10.56666672
CC84,10.66666672
CC85,10.76666672
CC86,10.86666672
CC87,10.96666672
CC88,11.06666672
CC90,11.26666672
CC91,11.36666672
CC92,11.46666672
CC93,11.56666672
CC94,11.66666672
CC95,11.76666672
CC96,11.86666672
CC97,11.96666672
CC98,12.06666672
CC99,12.16666672
CC100,12.26666672
CC101,12.36666672
CC102,12.46666672
CC103,12.56666672
CC104,12.66666672
CC105,12.76666672
CC106,12.86666672
