location,mu,coef,stderr,tau,wt,model_function
0,3.66E-08,0.023964685,0.002995376,0.1,0.000360487,z*logit
25,1.83333325,0.022157427,0.002792656,0.1,0.00021284,z*logit
50,3.53333322,0.019174732,0.002621965,0.1,1.84E-06,z*logit
75,5.83333341,0.014997988,0.002718266,0.1,1.88E-11,z*logit
0,1,0.112623089,0.013033207,0.1,0.108825693,log(z)*logit
25,2.83333325,0.095985404,0.011039,0.1,0.156964362,log(z)*logit
50,4.53333322,0.080174181,0.009901348,0.1,0.000872852,log(z)*logit
75,6.83333341,0.062941931,0.010406857,0.1,4.05E-10,log(z)*logit
0,3.66E-08,0.023237528,0.002984137,0.2,6.47E-05,z*logit
25,1.83333325,0.022202509,0.002946351,0.2,9.22E-06,z*logit
50,3.53333322,0.021196047,0.002989563,0.2,3.48E-07,z*logit
75,5.83333341,0.020733341,0.003347377,0.2,9.05E-10,z*logit
0,1,0.110032551,0.012862612,0.2,0.045135048,log(z)*logit
25,2.83333325,0.102360788,0.012216691,0.2,0.009147522,log(z)*logit
50,4.53333322,0.096111973,0.012087135,0.2,0.000250746,log(z)*logit
75,6.83333341,0.093283445,0.013384687,0.2,1.50E-07,log(z)*logit
30,3.099999983,0.093417672,0.010785081,0.1,0.114563455,log(z)*logit
20,2.56666652,0.09856637,0.01131439,0.1,0.185382591,log(z)*logit
15,2.26666665,0.101462819,0.011643354,0.1,0.194026159,log(z)*logit
10,1.999999917,0.104002326,0.011945639,0.1,0.184181924,log(z)*logit
,,0.024683898,0.003106651,,,pure linear
,,0.167851851,0.019719339,,,pure log
