CC,AP
CC1,3.378611111
CC3,3.578611111
CC6,3.878611111
CC8,4.078611111
CC11,4.378611111
CC14,4.678611111
CC16,4.878611111
CC19,5.178611111
CC21,5.378611111
CC24,5.678611111
CC27,5.978611111
CC29,6.178611111
CC32,6.478611111
CC34,6.678611111
CC37,6.978611111
CC40,7.278611111
CC42,7.478611111
CC45,7.778611111
CC47,7.978611111
CC50,8.278611111
CC53,8.578611111
CC55,8.778611111
CC58,9.078611111
CC61,9.378611111
CC63,9.578611111
CC66,9.878611111
CC68,10.07861111
CC71,10.37861111
CC74,10.67861111
CC76,10.87861111
CC79,11.17861111
CC81,11.37861111
CC84,11.67861111
CC87,11.97861111
CC89,12.17861111
CC92,12.47861111
CC94,12.67861111
CC97,12.97861111
CC100,13.27861111
CC102,13.47861111
CC105,13.77861111
CC108,14.07861111
CC110,14.27861111
CC113,14.57861111
CC115,14.77861111
CC118,15.07861111
CC121,15.37861111
CC123,15.57861111
CC126,15.87861111
CC128,16.07861111
CC131,16.37861111
CC134,16.67861111
CC136,16.87861111
CC139,17.17861111
CC141,17.37861111
CC144,17.67861111
CC147,17.97861111
CC149,18.17861111
CC152,18.47861111
CC154,18.67861111
CC157,18.97861111
CC160,19.27861111
CC162,19.47861111
CC165,19.77861111
CC168,20.07861111
CC170,20.27861111
CC173,20.57861111
CC175,20.77861111
CC178,21.07861111
CC181,21.37861111
CC183,21.57861111
CC186,21.87861111
CC188,22.07861111
CC191,22.37861111
CC194,22.67861111
CC196,22.87861111
CC199,23.17861111
CC201,23.37861111
CC204,23.67861111
CC207,23.97861111
CC209,24.17861111
CC212,24.47861111
CC215,24.77861111
CC217,24.97861111
CC220,25.27861111
CC222,25.47861111
CC225,25.77861111
CC228,26.07861111
CC230,26.27861111
CC233,26.57861111
CC235,26.77861111
CC238,27.07861111
CC241,27.37861111
CC243,27.57861111
CC246,27.87861111
CC248,28.07861111
CC251,28.37861111
CC254,28.67861111
CC256,28.87861111
CC259,29.17861111
CC261,29.37861111
