location,mu,coef,stderr,tau,wt,model_function
0,1.11E-11,0.002330185,0.002024022,0.1,0.029742515,z*logit
25,9.666666667,0.001348981,0.001672301,0.1,0.021210485,z*logit
50,14.53833333,5.09392E-05,0.001595026,0.1,0.015326273,z*logit
75,19.19916667,-0.000917958,0.001872301,0.1,0.017279472,z*logit
0,1.11E-11,0.04414284,0.020766755,0.1,0.151559183,log(z)*logit
25,9.666666667,0.01925059,0.012629495,0.1,0.049184552,log(z)*logit
50,14.53833333,0.004079367,0.01155861,0.1,0.016302639,log(z)*logit
75,19.19916667,-0.005370463,0.013697549,0.1,0.01654419,log(z)*logit
0,1.11E-11,0.002032856,0.001973318,0.2,0.02605047,z*logit
25,9.666666667,0.001143715,0.001874668,0.2,0.018450411,z*logit
50,14.53833333,0.00047758,0.001982399,0.2,0.01576928,z*logit
75,19.19916667,-0.000174224,0.002373904,0.2,0.01535978,z*logit
0,1.11E-11,0.036359225,0.019119152,0.2,0.09502866,log(z)*logit
25,9.666666667,0.018771987,0.015284581,0.2,0.032614305,log(z)*logit
50,14.53833333,0.010280761,0.015395875,0.2,0.019143472,log(z)*logit
75,19.19916667,0.003717788,0.0180612,0.2,0.015646309,log(z)*logit
5,3.295416667,0.039035833,0.017810312,0.1,0.174739497,log(z)*logit
-5,-3.295416667,0.046159892,0.022552406,0.1,0.128158471,log(z)*logit
10,5.856388889,0.032231741,0.015355593,0.1,0.141890048,log(z)*logit
,,0.00230612,0.002080171,,,pure linear
,,0.055614682,0.030399639,,,pure log
