CC,AP
CC1,2.695572623
CC2,2.795572623
CC3,2.895572623
CC4,2.995572623
CC5,3.095572623
CC6,3.195572623
CC7,3.295572623
CC8,3.395572623
CC9,3.495572623
CC10,3.595572623
CC11,3.695572623
CC13,3.895572623
CC14,3.995572623
CC15,4.095572623
CC16,4.195572623
CC17,4.295572623
CC18,4.395572623
CC19,4.495572623
CC20,4.595572623
CC21,4.695572623
CC22,4.795572623
CC24,4.995572623
CC25,5.095572623
CC26,5.195572623
CC27,5.295572623
CC28,5.395572623
CC29,5.495572623
CC30,5.595572623
CC31,5.695572623
CC32,5.795572623
CC33,5.895572623
CC35,6.095572623
CC36,6.195572623
CC37,6.295572623
CC38,6.395572623
CC39,6.495572623
CC40,6.595572623
CC41,6.695572623
CC42,6.795572623
CC43,6.895572623
CC44,6.995572623
CC46,7.195572623
CC47,7.295572623
CC48,7.395572623
CC49,7.495572623
CC50,7.595572623
CC51,7.695572623
CC52,7.795572623
CC53,7.895572623
CC54,7.995572623
CC55,8.095572623
CC57,8.295572623
CC58,8.395572623
CC59,8.495572623
CC60,8.595572623
CC61,8.695572623
CC62,8.795572623
CC63,8.895572623
CC64,8.995572623
CC65,9.095572623
CC66,9.195572623
CC68,9.395572623
CC69,9.495572623
CC70,9.595572623
CC71,9.695572623
CC72,9.795572623
CC73,9.895572623
CC74,9.995572623
CC75,10.09557262
CC76,10.19557262
CC77,10.29557262
CC79,10.49557262
CC80,10.59557262
CC81,10.69557262
CC82,10.79557262
CC83,10.89557262
CC84,10.99557262
CC85,11.09557262
CC86,11.19557262
CC87,11.29557262
CC88,11.39557262
CC90,11.59557262
CC91,11.69557262
CC92,11.79557262
CC93,11.89557262
CC94,11.99557262
CC95,12.09557262
CC96,12.19557262
CC97,12.29557262
CC98,12.39557262
CC99,12.49557262
CC101,12.69557262
CC102,12.79557262
CC103,12.89557262
CC104,12.99557262
CC105,13.09557262
CC106,13.19557262
CC107,13.29557262
CC108,13.39557262
CC109,13.49557262
CC110,13.59557262
