location,mu,coef,stderr,tau,wt,model_function
0,0,0.01582,0.001306717,0.1,0,z*logit
25,2.70443,0.01272,0.001160059,0.1,0,z*logit
50,4.42378,0.00892,0.001095684,0.1,0,z*logit
75,6.30962,0.00549,0.001142251,0.1,0,z*logit
0,0,0.09157,0.005936286,0.1,0.62993,log(z)*logit
25,2.70443,0.06285,0.004569065,0.1,0,log(z)*logit
50,4.42378,0.04208,0.00421184,0.1,0,log(z)*logit
75,6.30962,0.02552,0.004525446,0.1,0,log(z)*logit
0,0,0.01466,0.001294078,0.2,0,z*logit
25,2.70443,0.0126,0.001267462,0.2,0,z*logit
50,4.42378,0.01105,0.001299364,0.2,0,z*logit
75,6.30962,0.00977,0.001434763,0.2,0,z*logit
0,0,0.08389,0.005803213,0.2,0,log(z)*logit
25,2.70443,0.06802,0.005371092,0.2,0,log(z)*logit
50,4.42378,0.05826,0.005405667,0.2,0,log(z)*logit
75,6.30962,0.05075,0.005955147,0.2,0,log(z)*logit
5,0.93776,0.08372,0.005460022,0.1,0.14247,log(z)*logit
-5,-0.93776,0.09639,0.006276064,0.1,0.2276,log(z)*logit
,,0.01624,0.001354976,,,pure linear
,,0.13621,0.009417847,,,pure log
