location,mu,coef,stderr,tau,wt,model_function
0,0,0.005333405,0.000538887,0.1,5.01156E-05,z*logit
25,3,0.004736921,0.000487643,0.1,8.15E-06,z*logit
50,5.671428336,0.004258803,0.000465498,0.1,3.68E-08,z*logit
75,8.814285614,0.003884348,0.00057169,0.1,2.52E-16,z*logit
0,0,0.029898971,0.002811812,0.1,0.122207124,log(z)*logit
25,3,0.022580708,0.002191543,0.1,0.003404178,log(z)*logit
50,5.671428336,0.019480915,0.001990207,0.1,1.64214E-05,log(z)*logit
75,8.814285614,0.018743125,0.002516485,0.1,2.63E-14,log(z)*logit
0,0,0.005217443,0.000534502,0.2,1.28687E-05,z*logit
25,3,0.004992626,0.000526097,0.2,9.13E-07,z*logit
50,5.671428336,0.004952113,0.000553065,0.2,6.25E-09,z*logit
75,8.814285614,0.005465967,0.000699562,0.2,4.28E-13,z*logit
0,0,0.028636188,0.002713081,0.2,0.04885862,log(z)*logit
25,3,0.025556599,0.002486773,0.2,0.002442684,log(z)*logit
50,5.671428336,0.024511652,0.002512834,0.2,1.18395E-05,log(z)*logit
75,8.814285614,0.027112343,0.003148035,0.2,3.06E-10,log(z)*logit
5,1.0999999,0.027244015,0.002584586,0.1,0.044483284,log(z)*logit
-5,-1.0999999,0.031793633,0.002974926,0.1,0.22026181,log(z)*logit
-10,-1.671428336,0.032443091,0.003031049,0.1,0.263397501,log(z)*logit
-15,-2.1999998,0.032875666,0.003068496,0.1,0.29484451,log(z)*logit
,,0.005526611,0.000557916,,,pure linear
,,0.04675411,0.004434115,,,pure log
