location,mu,coef,stderr,tau,wt,model_function
0,0,0.008780043,0.000335827,0.1,3.15E-25,z*logit
25,12.90383173,0.008614035,0.000313909,0.1,4.15E-10,z*logit
50,23.47044769,0.008139698,0.000288506,0.1,0.668875089,z*logit
75,44.71914769,0.008388269,0.000325542,0.1,3.95E-31,z*logit
0,0,0.088298955,0.005599353,0.1,8.01E-119,log(z)*logit
25,12.90383173,0.113467126,0.004977703,0.1,1.95E-59,log(z)*logit
50,23.47044769,0.11504078,0.004182095,0.1,1.28E-08,log(z)*logit
75,44.71914769,0.125205532,0.004606207,0.1,1.59E-14,log(z)*logit
0,0,0.00884155,0.000331474,0.2,2.37E-19,z*logit
25,12.90383173,0.008878127,0.000325389,0.2,2.34E-12,z*logit
50,23.47044769,0.009018689,0.000327462,0.2,1.58E-09,z*logit
75,44.71914769,0.010628267,0.00040342,0.2,3.09E-24,z*logit
0,0,0.108702019,0.005565467,0.2,6.65E-90,log(z)*logit
25,12.90383173,0.124868256,0.005283214,0.2,1.23E-51,log(z)*logit
50,23.47044769,0.13350832,0.005096951,0.2,1.88E-24,log(z)*logit
75,44.71914769,0.163240148,0.005984509,0.2,5.42E-13,log(z)*logit
55,30.70589769,0.007899603,0.000281463,0.1,0.006896619,z*logit
45,22.23786669,0.008200869,0.000290953,0.1,0.324228109,z*logit
,,0.008795194,0.0003428,,,pure linear
,,0.302864223,0.013914906,,,pure log
