location,mu,coef,stderr,tau,wt,model_function
0,0,0.004321234,0.000240025,0.1,1.55E-24,z*logit
25,12.90383173,0.00435702,0.000226745,0.1,5.63E-15,z*logit
50,23.47044769,0.004286443,0.000214474,0.1,7.77E-09,z*logit
75,44.71914769,0.00380711,0.000247596,0.1,1.95E-44,z*logit
0,0,0.048463341,0.003875859,0.1,6.45E-60,log(z)*logit
25,12.90383173,0.058678345,0.003436861,0.1,1.54E-30,log(z)*logit
50,23.47044769,0.063379658,0.003048349,0.1,0.957248247,log(z)*logit
75,44.71914769,0.059395747,0.003531848,0.1,2.08E-34,log(z)*logit
0,0,0.004389869,0.000239081,0.2,6.56E-22,z*logit
25,12.90383173,0.004442114,0.000237213,0.2,3.15E-19,z*logit
50,23.47044769,0.004507382,0.000241368,0.2,6.51E-20,z*logit
75,44.71914769,0.005027477,0.000300076,0.2,5.29E-35,z*logit
0,0,0.057624939,0.003882691,0.2,5.78E-46,log(z)*logit
25,12.90383173,0.064440444,0.003732204,0.2,2.37E-29,log(z)*logit
50,23.47044769,0.068785017,0.003680593,0.2,8.09E-19,log(z)*logit
75,44.71914769,0.080506384,0.004446692,0.2,1.47E-24,log(z)*logit
55,30.70589769,0.061421495,0.002967142,0.1,0.029056805,log(z)*logit
45,22.23786669,0.063373667,0.003080677,0.1,0.01369478,log(z)*logit
,,0.004328386,0.000245037,,,pure linear
,,0.152941804,0.009723746,,,pure log
