CC,AP
CC1,15.39043731
CC7,15.99043731
CC14,16.69043731
CC21,17.39043731
CC28,18.09043731
CC35,18.79043731
CC42,19.49043731
CC48,20.09043731
CC55,20.79043731
CC62,21.49043731
CC69,22.19043731
CC76,22.89043731
CC83,23.59043731
CC89,24.19043731
CC96,24.89043731
CC103,25.59043731
CC110,26.29043731
CC117,26.99043731
CC124,27.69043731
CC130,28.29043731
CC137,28.99043731
CC144,29.69043731
CC151,30.39043731
CC158,31.09043731
CC165,31.79043731
CC171,32.39043731
CC178,33.09043731
CC185,33.79043731
CC192,34.49043731
CC199,35.19043731
CC206,35.89043731
CC213,36.59043731
CC219,37.19043731
CC226,37.89043731
CC233,38.59043731
CC240,39.29043731
CC247,39.99043731
CC254,40.69043731
CC260,41.29043731
CC267,41.99043731
CC274,42.69043731
CC281,43.39043731
CC288,44.09043731
CC295,44.79043731
CC301,45.39043731
CC308,46.09043731
CC315,46.79043731
CC322,47.49043731
CC329,48.19043731
CC336,48.89043731
CC342,49.49043731
CC349,50.19043731
CC356,50.89043731
CC363,51.59043731
CC370,52.29043731
CC377,52.99043731
CC384,53.69043731
CC390,54.29043731
CC397,54.99043731
CC404,55.69043731
CC411,56.39043731
CC418,57.09043731
CC425,57.79043731
CC431,58.39043731
CC438,59.09043731
CC445,59.79043731
CC452,60.49043731
CC459,61.19043731
CC466,61.89043731
CC472,62.49043731
CC479,63.19043731
CC486,63.89043731
CC493,64.59043731
CC500,65.29043731
CC507,65.99043731
CC513,66.59043731
CC520,67.29043731
CC527,67.99043731
CC534,68.69043731
CC541,69.39043731
CC548,70.09043731
CC555,70.79043731
CC561,71.39043731
CC568,72.09043731
CC575,72.79043731
CC582,73.49043731
CC589,74.19043731
CC596,74.89043731
CC602,75.49043731
CC609,76.19043731
CC616,76.89043731
CC623,77.59043731
CC630,78.29043731
CC637,78.99043731
CC643,79.59043731
CC650,80.29043731
CC657,80.99043731
CC664,81.69043731
CC671,82.39043731
CC678,83.09043731
CC684,83.69043731
