,air.pollutant
1,9.6047744
2,9.7047744
3,9.8047744
4,9.9047744
5,10.0047744
6,10.1047744
7,10.2047744
8,10.3047744
9,10.4047744
10,10.5047744
11,10.6047744
12,10.7047744
13,10.8047744
14,10.9047744
15,11.0047744
16,11.1047744
17,11.2047744
18,11.3047744
19,11.4047744
20,11.5047744
21,11.6047744
22,11.7047744
23,11.8047744
24,11.9047744
25,12.0047744
26,12.1047744
27,12.2047744
28,12.3047744
29,12.4047744
30,12.5047744
31,12.6047744
32,12.7047744
33,12.8047744
34,12.9047744
35,13.0047744
36,13.1047744
37,13.2047744
38,13.3047744
39,13.4047744
40,13.5047744
41,13.6047744
42,13.7047744
43,13.8047744
44,13.9047744
45,14.0047744
46,14.1047744
47,14.2047744
48,14.3047744
49,14.4047744
50,14.5047744
51,14.6047744
52,14.7047744
53,14.8047744
54,14.9047744
55,15.0047744
56,15.1047744
57,15.2047744
58,15.3047744
59,15.4047744
60,15.5047744
61,15.6047744
62,15.7047744
63,15.8047744
64,15.9047744
65,16.0047744
66,16.1047744
67,16.2047744
68,16.3047744
69,16.4047744
70,16.5047744
71,16.6047744
