funcform,location,mu,tau,coef,se,wt
linear,0,0,0.1,0.015636474,0.002552774,1.03E-05
linear,25,2.3302513,0.1,0.01155098,0.002135279,1.61E-07
linear,50,3.2982365,0.1,0.007933829,0.002090896,9.49E-11
linear,75,4.1971046,0.1,0.004428829,0.002322748,4.43E-13
log,0,0,0.1,0.068204713,0.008967311,0.346879856
log,25,2.3302513,0.1,0.042625762,0.006392972,0.000344835
log,50,3.2982365,0.1,0.028928204,0.006137553,4.74E-09
log,75,4.1971046,0.1,0.016855995,0.006901242,1.42E-12
linear,0,0,0.2,0.014571506,0.002513277,1.43E-06
linear,25,2.3302513,0.2,0.011886178,0.00247144,7.41E-09
linear,50,3.2982365,0.2,0.010556821,0.002611184,2.49E-10
linear,75,4.1971046,0.2,0.00957148,0.002928881,1.47E-11
log,0,0,0.2,0.06191853,0.008599393,0.015340548
log,25,2.3302513,0.2,0.046890054,0.007818182,4.73E-06
log,50,3.2982365,0.2,0.041085226,0.008113818,2.62E-08
log,75,4.1971046,0.2,0.03725505,0.009047964,3.38E-10
log,5,1.0693631,0.1,0.059135836,0.007755131,0.386552845
log,-5,-1.0693631,0.1,0.071673567,0.009569342,0.142762776
log,10,1.5119403,0.1,0.053735719,0.007199732,0.108102475
pure.linear,NA,NA,NA,0.01592257,0.002643188,NA
pure.log,NA,NA,NA,0.07285645,0.009802324,NA
