CC,AP
CC1,30.386
CC2,30.486
CC3,30.586
CC4,30.686
CC5,30.786
CC6,30.886
CC7,30.986
CC9,31.186
CC10,31.286
CC11,31.386
CC12,31.486
CC13,31.586
CC14,31.686
CC16,31.886
CC17,31.986
CC18,32.086
CC19,32.186
CC20,32.286
CC21,32.386
CC23,32.586
CC24,32.686
CC25,32.786
CC26,32.886
CC27,32.986
CC28,33.086
CC29,33.186
CC31,33.386
CC32,33.486
CC33,33.586
CC34,33.686
CC35,33.786
CC36,33.886
CC38,34.086
CC39,34.186
CC40,34.286
CC41,34.386
CC42,34.486
CC43,34.586
CC45,34.786
CC46,34.886
CC47,34.986
CC48,35.086
CC49,35.186
CC50,35.286
CC52,35.486
CC53,35.586
CC54,35.686
CC55,35.786
CC56,35.886
CC57,35.986
CC58,36.086
CC60,36.286
CC61,36.386
CC62,36.486
CC63,36.586
CC64,36.686
CC65,36.786
CC67,36.986
CC68,37.086
CC69,37.186
CC70,37.286
CC71,37.386
CC72,37.486
CC74,37.686
CC75,37.786
CC76,37.886
CC77,37.986
CC78,38.086
CC79,38.186
CC81,38.386
CC82,38.486
CC83,38.586
CC84,38.686
CC85,38.786
CC86,38.886
CC87,38.986
CC89,39.186
CC90,39.286
CC91,39.386
CC92,39.486
CC93,39.586
CC94,39.686
CC96,39.886
CC97,39.986
CC98,40.086
CC99,40.186
CC100,40.286
CC101,40.386
CC103,40.586
CC104,40.686
CC105,40.786
CC106,40.886
CC107,40.986
CC108,41.086
CC110,41.286
CC111,41.386
CC112,41.486
CC113,41.586
CC114,41.686
CC115,41.786
CC116,41.886
