location,mu,coef,stderr,tau,wt,model_function
0,0,0.013341669,0.003596288,0.1,0.010911591,z*logit
25,3.459,0.011207065,0.003015195,0.1,0.011124241,z*logit
50,4.955,0.011368416,0.002859005,0.1,0.029291657,z*logit
75,6.756,0.013291195,0.0030703,0.1,0.117055295,z*logit
0,0,0.055491229,0.018360753,0.1,0.001122945,log(z)*logit
25,3.459,0.038841136,0.012405556,0.1,0.0015415,log(z)*logit
50,4.955,0.040948526,0.01134904,0.1,0.00750425,log(z)*logit
75,6.756,0.051596635,0.012265385,0.1,0.072084182,log(z)*logit
0,0,0.013332049,0.003520689,0.2,0.014424878,z*logit
25,3.459,0.013462949,0.003402164,0.2,0.027244151,z*logit
50,4.955,0.014343916,0.003504535,0.2,0.045951789,z*logit
75,6.756,0.016692432,0.003922464,0.2,0.086856713,z*logit
0,0,0.055627389,0.017244912,0.2,0.002101658,log(z)*logit
25,3.459,0.053314529,0.014986063,0.2,0.006333744,log(z)*logit
50,4.955,0.056912191,0.014993153,0.2,0.014886346,log(z)*logit
75,6.756,0.067267066,0.016495094,0.2,0.043395752,log(z)*logit
80,7.232,0.014158095,0.003234963,0.1,0.140157172,z*logit
70,6.317,0.012636183,0.002965231,0.1,0.089674951,z*logit
85,7.618,0.015001078,0.003415637,0.1,0.14658529,z*logit
90,8.189,0.016550393,0.003783288,0.1,0.131751946,z*logit
,,0.014013594,0.003728895,,,pure linear
,,0.48928691,0.133395607,,,pure log
