Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,6.33E-02,3.29E-02,1.94E-02,7.98E-03,3.05E-03,1.05E-03,4.06E-03,3.82E-02,2.08E-02,1.06E-02,5.89E-03,1.13E-03,6.04E-04,8.98E-04
Breast ,1980,2005,100,60,Canada,5.76E-02,2.43E-02,1.69E-02,4.47E-03,4.35E-03,1.93E-03,5.41E-03,3.31E-02,1.38E-02,8.86E-03,3.27E-03,1.61E-03,1.05E-03,1.94E-03
2001 CanCHEC,2001,2011,50,53,Canada,4.40E-02,1.49E-02,9.84E-03,2.96E-03,3.05E-03,1.21E-03,4.70E-03,2.76E-02,8.59E-03,5.08E-03,2.20E-03,1.73E-03,7.62E-04,2.54E-03
1991 CanCHEC,1991,2006,50,54,Canada,5.36E-02,2.13E-02,1.46E-02,4.03E-03,3.99E-03,1.70E-03,5.25E-03,3.16E-02,1.20E-02,7.54E-03,2.94E-03,1.75E-03,9.75E-04,2.21E-03
CCHS,2001,2011,54,56,Canada,4.40E-02,1.49E-02,9.84E-03,2.96E-03,3.05E-03,1.21E-03,4.70E-03,2.76E-02,8.59E-03,5.08E-03,2.20E-03,1.73E-03,7.62E-04,2.54E-03
China,1990,2005,0,63,China,9.14E-02,3.86E-02,9.27E-03,2.31E-02,2.27E-02,1.87E-03,4.54E-03,6.49E-02,2.93E-02,6.84E-03,1.68E-02,1.68E-02,1.38E-03,1.80E-03
ESCAPE - DCH,1995,2010,54,65,Denmark,6.16E-02,2.44E-02,1.48E-02,6.11E-03,5.79E-03,1.91E-03,5.38E-03,3.96E-02,1.45E-02,7.66E-03,4.55E-03,4.19E-03,1.24E-03,2.84E-03
English,2003,2007,52,62,England,5.25E-02,2.04E-02,1.21E-02,4.68E-03,4.21E-03,2.60E-03,4.74E-03,3.46E-02,1.28E-02,6.24E-03,3.91E-03,2.78E-03,1.97E-03,2.53E-03
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,5.88E-02,2.48E-02,1.54E-02,5.47E-03,4.73E-03,3.24E-03,5.22E-03,3.72E-02,1.53E-02,7.99E-03,4.54E-03,2.63E-03,2.34E-03,2.38E-03
ESCAPE - FINRISK,1992,2008,54,56,Finland,6.18E-02,3.14E-02,2.11E-02,6.73E-03,3.22E-03,2.66E-03,4.75E-03,3.45E-02,1.78E-02,1.05E-02,5.04E-03,6.76E-04,1.32E-03,8.72E-04
France,1989,2013,27,56,France,4.66E-02,1.64E-02,8.22E-03,4.27E-03,2.19E-03,1.63E-03,3.86E-03,2.38E-02,8.87E-03,3.74E-03,2.84E-03,8.00E-04,7.62E-04,6.17E-04
ESCAPE - E3N,1991,2008,100,62,France,4.81E-02,1.72E-02,8.62E-03,4.45E-03,2.30E-03,1.69E-03,3.96E-03,2.45E-02,9.26E-03,3.92E-03,2.95E-03,8.36E-04,7.97E-04,6.03E-04
ESCAPE - SALIA,1985,2010,38,67,Germany,6.36E-02,3.09E-02,1.98E-02,6.98E-03,3.71E-03,1.71E-03,4.60E-03,3.78E-02,1.93E-02,1.09E-02,5.23E-03,1.33E-03,8.91E-04,9.36E-04
ESCAPE - KORA,1997,2007,51,55,Germany,5.69E-02,2.60E-02,1.63E-02,5.55E-03,3.22E-03,1.70E-03,4.48E-03,3.37E-02,1.60E-02,8.77E-03,4.04E-03,1.29E-03,8.79E-04,1.03E-03
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,5.35E-02,2.56E-02,1.36E-02,9.37E-03,2.07E-03,1.42E-03,5.72E-03,3.62E-02,2.03E-02,8.86E-03,9.03E-03,1.29E-03,9.07E-04,9.33E-04
Rome,2001,2010,50,55,Italy,4.71E-02,1.77E-02,9.03E-03,5.05E-03,2.88E-03,8.56E-04,5.06E-03,2.58E-02,1.05E-02,4.46E-03,3.49E-03,8.62E-04,4.26E-04,9.08E-04
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,5.20E-02,2.06E-02,1.05E-02,6.05E-03,3.20E-03,8.82E-04,5.27E-03,2.90E-02,1.27E-02,5.40E-03,4.32E-03,9.04E-04,4.43E-04,9.07E-04
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,5.08E-02,1.99E-02,1.01E-02,5.77E-03,3.12E-03,8.76E-04,5.26E-03,2.82E-02,1.21E-02,5.17E-03,4.09E-03,8.91E-04,4.38E-04,9.11E-04
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,5.08E-02,1.99E-02,1.01E-02,5.77E-03,3.12E-03,8.76E-04,5.26E-03,2.82E-02,1.21E-02,5.17E-03,4.09E-03,8.91E-04,4.38E-04,9.11E-04
DUELS,2004,2011,52,63,Netherlands,5.12E-02,1.70E-02,8.99E-03,4.01E-03,4.43E-03,2.52E-03,6.25E-03,2.95E-02,9.69E-03,4.24E-03,3.00E-03,2.07E-03,1.41E-03,1.87E-03
Dutch,1987,1996,51,66,Netherlands,7.31E-02,3.15E-02,1.94E-02,7.16E-03,6.75E-03,2.24E-03,8.85E-03,3.68E-02,1.69E-02,8.98E-03,5.16E-03,1.59E-03,1.19E-03,8.46E-04
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,6.15E-02,2.34E-02,1.33E-02,5.48E-03,5.64E-03,2.70E-03,7.31E-03,3.34E-02,1.29E-02,6.22E-03,4.03E-03,2.00E-03,1.50E-03,1.46E-03
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,6.15E-02,2.34E-02,1.33E-02,5.48E-03,5.64E-03,2.70E-03,7.31E-03,3.34E-02,1.29E-02,6.22E-03,4.03E-03,2.00E-03,1.50E-03,1.46E-03
ESCAPE - HUBRO,2000,2010,56,53,Norway,4.97E-02,1.99E-02,1.19E-02,4.78E-03,3.49E-03,2.00E-03,3.80E-03,2.94E-02,1.11E-02,5.60E-03,3.36E-03,2.09E-03,1.19E-03,1.69E-03
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,4.60E-02,2.07E-02,1.27E-02,4.48E-03,1.99E-03,1.34E-03,2.57E-03,2.84E-02,1.17E-02,6.22E-03,3.31E-03,1.48E-03,7.27E-04,1.45E-03
ESCAPE - SALT,2000,2010,56,63,Sweden,4.66E-02,2.12E-02,1.31E-02,4.57E-03,2.01E-03,1.37E-03,2.58E-03,2.86E-02,1.19E-02,6.37E-03,3.38E-03,1.46E-03,7.45E-04,1.43E-03
ESCAPE - Sixty,1997,2010,52,67,Sweden,4.84E-02,2.26E-02,1.41E-02,4.85E-03,2.04E-03,1.49E-03,2.60E-03,2.93E-02,1.26E-02,6.82E-03,3.56E-03,1.42E-03,8.03E-04,1.37E-03
ESCAPE - SDPP,2004,2010,62,50,Sweden,4.42E-02,1.94E-02,1.18E-02,4.19E-03,1.94E-03,1.27E-03,2.55E-03,2.76E-02,1.10E-02,5.78E-03,3.11E-03,1.50E-03,6.82E-04,1.50E-03
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,4.81E-02,1.95E-02,1.20E-02,4.10E-03,2.83E-03,1.35E-03,4.13E-03,2.62E-02,1.05E-02,5.63E-03,2.78E-03,9.59E-04,7.04E-04,9.84E-04
Taipei,1989,2008,43,51,Taiwan,5.83E-02,2.08E-02,8.60E-03,9.24E-03,2.33E-03,3.07E-03,4.36E-03,4.38E-02,1.65E-02,5.73E-03,8.15E-03,8.70E-04,2.11E-03,1.69E-03
AARD,2000,2009,41,71,USA,4.93E-02,1.85E-02,1.24E-02,3.24E-03,4.03E-03,1.77E-03,5.10E-03,3.39E-02,1.22E-02,7.34E-03,2.80E-03,2.79E-03,1.21E-03,2.89E-03
NHIS,1986,2001,44,51,USA,5.97E-02,2.63E-02,1.84E-02,4.22E-03,4.36E-03,2.32E-03,5.72E-03,3.69E-02,1.61E-02,1.03E-02,3.36E-03,2.19E-03,1.32E-03,2.42E-03
ACS,1982,2004,56,66,USA,5.93E-02,2.60E-02,1.81E-02,4.18E-03,4.34E-03,2.29E-03,5.69E-03,3.67E-02,1.59E-02,1.02E-02,3.34E-03,2.20E-03,1.31E-03,2.43E-03
NHS,2000,2006,100,64,USA,5.11E-02,1.97E-02,1.32E-02,3.44E-03,4.14E-03,1.84E-03,5.28E-03,3.48E-02,1.29E-02,7.82E-03,2.95E-03,2.79E-03,1.25E-03,2.90E-03
CTS,2000,2005,100,53,USA,5.17E-02,2.01E-02,1.35E-02,3.51E-03,4.17E-03,1.87E-03,5.33E-03,3.51E-02,1.32E-02,8.00E-03,3.01E-03,2.79E-03,1.27E-03,2.89E-03
SCS,1979,2009,55,63,USA,5.76E-02,2.48E-02,1.72E-02,4.01E-03,4.28E-03,2.21E-03,5.57E-03,3.61E-02,1.53E-02,9.72E-03,3.23E-03,2.26E-03,1.29E-03,2.47E-03
MHP,1988,2002,0,64,USA,5.87E-02,2.55E-02,1.77E-02,4.14E-03,4.34E-03,2.27E-03,5.69E-03,3.67E-02,1.57E-02,1.00E-02,3.32E-03,2.28E-03,1.32E-03,2.49E-03
AHS,1993,2009,38,54,USA,5.29E-02,2.11E-02,1.44E-02,3.58E-03,4.15E-03,1.97E-03,5.34E-03,3.50E-02,1.35E-02,8.32E-03,3.00E-03,2.61E-03,1.26E-03,2.76E-03
AHSMOG,1977,1992,65,70,USA,6.33E-02,2.92E-02,2.07E-02,4.54E-03,4.43E-03,2.49E-03,5.85E-03,3.74E-02,1.74E-02,1.14E-02,3.51E-03,1.83E-03,1.32E-03,2.11E-03
MEDICARE,2003,2008,59,77,USA,4.80E-02,1.76E-02,1.17E-02,3.09E-03,3.97E-03,1.71E-03,5.01E-03,3.32E-02,1.17E-02,6.95E-03,2.68E-03,2.80E-03,1.19E-03,2.90E-03
Hong Kong,2000,2011,66,78,Hong Kong,8.22E-02,3.73E-02,1.13E-02,2.18E-02,1.58E-02,1.68E-03,5.22E-03,5.44E-02,2.69E-02,8.34E-03,1.50E-02,1.02E-02,1.12E-03,2.02E-03
