Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,1.42E-01,8.11E-02,4.45E-02,2.03E-02,6.79E-03,4.03E-03,4.27E-03,1.17E-01,7.25E-02,3.50E-02,1.97E-02,3.54E-03,3.09E-03,1.02E-03
Breast ,1980,2005,100,60,Canada,1.26E-01,5.47E-02,3.67E-02,1.18E-02,9.02E-03,7.56E-03,5.48E-03,9.43E-02,4.36E-02,2.74E-02,1.16E-02,2.77E-03,5.16E-03,1.55E-03
2001 CanCHEC,2001,2011,50,53,Canada,1.09E-01,4.06E-02,2.60E-02,9.02E-03,7.64E-03,4.99E-03,5.39E-03,8.73E-02,3.41E-02,2.04E-02,9.24E-03,3.58E-03,3.90E-03,2.32E-03
1991 CanCHEC,1991,2006,50,54,Canada,1.22E-01,5.10E-02,3.37E-02,1.11E-02,8.90E-03,6.81E-03,5.52E-03,9.29E-02,4.09E-02,2.53E-02,1.10E-02,3.21E-03,4.85E-03,1.84E-03
CCHS,2001,2011,54,56,Canada,1.09E-01,4.06E-02,2.60E-02,9.02E-03,7.64E-03,4.99E-03,5.39E-03,8.73E-02,3.41E-02,2.04E-02,9.24E-03,3.58E-03,3.90E-03,2.32E-03
China,1990,2005,0,63,China,1.63E-01,7.13E-02,2.10E-02,3.79E-02,4.61E-02,5.75E-03,4.37E-03,1.37E-01,6.32E-02,1.84E-02,3.26E-02,3.92E-02,5.43E-03,1.80E-03
ESCAPE - DCH,1995,2010,54,65,Denmark,1.35E-01,5.96E-02,3.63E-02,1.55E-02,1.03E-02,8.29E-03,5.19E-03,1.08E-01,5.03E-02,2.78E-02,1.54E-02,6.06E-03,6.68E-03,2.10E-03
English,2003,2007,52,62,England,1.25E-01,5.02E-02,2.74E-02,1.41E-02,9.88E-03,1.21E-02,5.89E-03,1.05E-01,4.35E-02,1.93E-02,1.54E-02,6.17E-03,1.16E-02,2.64E-03
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,1.33E-01,5.51E-02,3.14E-02,1.49E-02,1.03E-02,1.42E-02,6.18E-03,1.09E-01,4.70E-02,2.22E-02,1.61E-02,5.52E-03,1.33E-02,2.38E-03
ESCAPE - FINRISK,1992,2008,54,56,Finland,1.34E-01,6.71E-02,4.36E-02,1.56E-02,5.81E-03,1.02E-02,4.58E-03,1.08E-01,5.89E-02,3.43E-02,1.63E-02,1.36E-03,6.83E-03,9.12E-04
France,1989,2013,27,56,France,1.15E-01,4.66E-02,2.23E-02,1.26E-02,6.47E-03,7.13E-03,3.97E-03,8.83E-02,3.94E-02,1.64E-02,1.19E-02,3.71E-03,5.25E-03,6.99E-04
ESCAPE - E3N,1991,2008,100,62,France,1.18E-01,4.84E-02,2.32E-02,1.31E-02,6.79E-03,7.48E-03,3.97E-03,9.08E-02,4.10E-02,1.71E-02,1.23E-02,3.87E-03,5.51E-03,6.63E-04
