CC,AP
CC1,8.108572555
CC2,8.208572555
CC3,8.308572555
CC4,8.408572555
CC5,8.508572555
CC6,8.608572555
CC7,8.708572555
CC8,8.808572555
CC9,8.908572555
CC10,9.008572555
CC11,9.108572555
CC12,9.208572555
CC13,9.308572555
CC14,9.408572555
CC15,9.508572555
CC16,9.608572555
CC17,9.708572555
CC18,9.808572555
CC19,9.908572555
CC21,10.10857256
CC22,10.20857256
CC23,10.30857256
CC24,10.40857256
CC25,10.50857256
CC26,10.60857256
CC27,10.70857256
CC28,10.80857256
CC29,10.90857256
CC30,11.00857256
CC31,11.10857256
CC32,11.20857256
CC33,11.30857256
CC34,11.40857256
CC35,11.50857256
CC36,11.60857256
CC37,11.70857256
CC38,11.80857256
CC39,11.90857256
CC40,12.00857256
CC41,12.10857256
CC42,12.20857256
CC43,12.30857256
CC44,12.40857256
CC45,12.50857256
CC46,12.60857256
CC47,12.70857256
CC48,12.80857256
CC49,12.90857256
CC50,13.00857256
CC51,13.10857256
CC52,13.20857256
CC53,13.30857256
CC54,13.40857256
CC55,13.50857256
CC56,13.60857256
CC57,13.70857256
CC58,13.80857256
CC59,13.90857256
CC60,14.00857256
CC61,14.10857256
CC62,14.20857256
CC63,14.30857256
CC64,14.40857256
CC65,14.50857256
CC66,14.60857256
CC67,14.70857256
CC67,14.70857256
CC68,14.80857256
CC69,14.90857256
CC70,15.00857256
CC71,15.10857256
CC72,15.20857256
CC73,15.30857256
CC74,15.40857256
CC75,15.50857256
CC76,15.60857256
CC77,15.70857256
CC78,15.80857256
CC79,15.90857256
CC80,16.00857256
CC81,16.10857256
CC82,16.20857256
CC83,16.30857256
CC84,16.40857256
CC85,16.50857256
CC86,16.60857256
CC87,16.70857256
CC88,16.80857256
CC89,16.90857256
CC90,17.00857256
CC91,17.10857256
CC92,17.20857256
CC93,17.30857256
