location,mu,coef,stderr,tau,wt,model_function
0,0,0.006553448,0.002450593,0.1,0.047287838,z*logit
25,2.749921944,0.00547657,0.002176965,0.1,0.031303801,z*logit
50,4.771971161,0.004481615,0.002134529,0.1,0.011933728,z*logit
75,6.327594992,0.003907514,0.00238444,0.1,0.005042549,z*logit
0,0,0.031104763,0.010289422,0.1,0.131034416,log(z)*logit
25,2.749921944,0.022616501,0.008018628,0.1,0.071407994,log(z)*logit
50,4.771971161,0.017979345,0.007786021,0.1,0.018992688,log(z)*logit
75,6.327594992,0.016595364,0.009026074,0.1,0.007130117,log(z)*logit
0,0,0.006306535,0.002423254,0.2,0.03906432,z*logit
25,2.749921944,0.005747342,0.002379059,0.2,0.024379223,z*logit
50,4.771971161,0.005412931,0.002529303,0.2,0.012979846,z*logit
75,6.327594992,0.005364373,0.002894126,0.2,0.007325155,z*logit
0,0,0.02956985,0.010000265,0.2,0.106642217,log(z)*logit
25,2.749921944,0.025519829,0.009279145,0.2,0.058370532,log(z)*logit
50,4.771971161,0.02372867,0.009719798,0.2,0.025951371,log(z)*logit
75,6.327594992,0.023791126,0.011186094,0.2,0.012614408,log(z)*logit
5,0.612003965,0.02990144,0.009853639,0.1,0.135480045,log(z)*logit
-5,-0.612003965,0.031912608,0.010598101,0.1,0.126553401,log(z)*logit
10,1.59422818,0.027002888,0.008960405,0.1,0.126506323,log(z)*logit
,,0.006699746,0.002517057,,,pure linear
,,0.087091223,0.030844489,,,pure log
