CC,AP
CC1,5.750221231
CC2,5.850221231
CC3,5.950221231
CC5,6.150221231
CC6,6.250221231
CC8,6.450221231
CC9,6.550221231
CC11,6.750221231
CC12,6.850221231
CC14,7.050221231
CC15,7.150221231
CC17,7.350221231
CC18,7.450221231
CC20,7.650221231
CC21,7.750221231
CC23,7.950221231
CC24,8.050221231
CC26,8.250221231
CC27,8.350221231
CC29,8.550221231
CC30,8.650221231
CC32,8.850221231
CC33,8.950221231
CC35,9.150221231
CC36,9.250221231
CC37,9.350221231
CC39,9.550221231
CC40,9.650221231
CC42,9.850221231
CC43,9.950221231
CC45,10.15022123
CC46,10.25022123
CC48,10.45022123
CC49,10.55022123
CC51,10.75022123
CC52,10.85022123
CC54,11.05022123
CC55,11.15022123
CC57,11.35022123
CC58,11.45022123
CC60,11.65022123
CC61,11.75022123
CC63,11.95022123
CC64,12.05022123
CC66,12.25022123
CC67,12.35022123
CC69,12.55022123
CC70,12.65022123
CC72,12.85022123
CC73,12.95022123
CC74,13.05022123
CC76,13.25022123
CC77,13.35022123
CC79,13.55022123
CC80,13.65022123
CC82,13.85022123
CC83,13.95022123
CC85,14.15022123
CC86,14.25022123
CC88,14.45022123
CC89,14.55022123
CC91,14.75022123
CC92,14.85022123
CC94,15.05022123
CC95,15.15022123
CC97,15.35022123
CC98,15.45022123
CC100,15.65022123
CC101,15.75022123
CC103,15.95022123
CC104,16.05022123
CC106,16.25022123
CC107,16.35022123
CC109,16.55022123
CC110,16.65022123
CC111,16.75022123
CC113,16.95022123
CC114,17.05022123
CC116,17.25022123
CC117,17.35022123
CC119,17.55022123
CC120,17.65022123
CC122,17.85022123
CC123,17.95022123
CC125,18.15022123
CC126,18.25022123
CC128,18.45022123
CC129,18.55022123
CC131,18.75022123
CC132,18.85022123
CC134,19.05022123
CC135,19.15022123
CC137,19.35022123
CC138,19.45022123
CC140,19.65022123
CC141,19.75022123
CC143,19.95022123
CC144,20.05022123
CC146,20.25022123
CC147,20.35022123
CC148,20.45022123
