location,mu,coef,stderr,tau,wt,model_function
0,0.000012,0.016626522,0.004100871,0.1,0.053182889,z*logit
25,4.445887866,0.013656483,0.003403311,0.1,0.04414084,z*logit
50,6.156478179,0.012415636,0.003313043,0.1,0.015377903,z*logit
75,8.081876795,0.012172186,0.003692799,0.1,0.003071266,z*logit
0,0.000012,0.09588834,0.024068278,0.1,0.045445409,log(z)*logit
25,4.445887866,0.065331873,0.015580985,0.1,0.09923651,log(z)*logit
50,6.156478179,0.057485598,0.014577697,0.1,0.03385554,log(z)*logit
75,8.081876795,0.056680939,0.016282897,0.1,0.005828988,log(z)*logit
0,0.000012,0.016215808,0.004037511,0.2,0.044879932,z*logit
25,4.445887866,0.015490855,0.003981875,0.2,0.026460358,z*logit
50,6.156478179,0.015720597,0.004169321,0.2,0.016443768,z*logit
75,8.081876795,0.016828243,0.004683165,0.2,0.008400779,z*logit
0,0.000012,0.091408733,0.022535177,0.2,0.05826032,log(z)*logit
25,4.445887866,0.07981051,0.01963301,0.2,0.056393744,log(z)*logit
50,6.156478179,0.07919602,0.019940949,0.2,0.037486088,log(z)*logit
75,8.081876795,0.083823646,0.022009357,0.2,0.01923721,log(z)*logit
30,4.79925929,0.063255865,0.015207767,0.1,0.085107842,log(z)*logit
20,4.037667248,0.067961841,0.016110774,0.1,0.112077803,log(z)*logit
15,3.545683054,0.071396816,0.01687986,0.1,0.119558858,log(z)*logit
10,2.95482221,0.075781093,0.01796798,0.1,0.115553903,log(z)*logit
,,0.017129796,0.004269708,,,pure linear
,,0.202556437,0.050142331,,,pure log
