funcform,location,mu,tau,coef,se,wt
linear,0,0,0.2,0.003615679,0.000623864,0.064517913
linear,25,8.825000525,0.2,0.003170126,0.000583906,0.007885189
linear,50,12.47599959,0.2,0.003288618,0.000635221,0.002020391
linear,75,14.55799937,0.2,0.003607595,0.000716287,0.000972552
log,0,0,0.2,0.028812118,0.004818348,0.217047167
log,25,8.825000525,0.2,0.021861283,0.003853073,0.03205685
log,50,12.47599959,0.2,0.021816439,0.004042812,0.006598037
log,75,14.55799937,0.2,0.023644078,0.004510459,0.002846058
linear,0,0,0.1,0.003758155,0.000641418,0.094569941
linear,25,8.825000525,0.1,0.002678723,0.000501561,0.004976431
linear,50,12.47599959,0.1,0.002353101,0.000486712,0.000364472
linear,75,14.55799937,0.1,0.002506835,0.000549318,9.98E-05
log,0,0,0.1,0.030482249,0.005141449,0.167431848
log,25,8.825000525,0.1,0.016853708,0.00309144,0.009394217
log,50,12.47599959,0.1,0.014381403,0.002918673,0.000581042
log,75,14.55799937,0.1,0.01542802,0.003313147,0.000154605
log,5,3.092999458,0.2,0.026204568,0.004402544,0.176952744
log,-5,-3.092999458,0.2,0.030780481,0.005155003,0.211530698
pure.linear,NA,NA,NA,0.003833611,0.000655083,NA
pure.log,NA,NA,NA,0.033253686,0.005594374,NA
