,air.pollutant
1,11.4320004
3,11.6320004
5,11.8320004
7,12.0320004
9,12.2320004
11,12.4320004
13,12.6320004
14,12.7320004
16,12.9320004
18,13.1320004
20,13.3320004
22,13.5320004
24,13.7320004
26,13.9320004
28,14.1320004
30,14.3320004
32,14.5320004
34,14.7320004
36,14.9320004
37,15.0320004
39,15.2320004
41,15.4320004
43,15.6320004
45,15.8320004
47,16.0320004
49,16.2320004
51,16.4320004
53,16.6320004
55,16.8320004
57,17.0320004
59,17.2320004
61,17.4320004
62,17.5320004
64,17.7320004
66,17.9320004
68,18.1320004
70,18.3320004
72,18.5320004
74,18.7320004
76,18.9320004
78,19.1320004
80,19.3320004
82,19.5320004
84,19.7320004
85,19.8320004
87,20.0320004
89,20.2320004
91,20.4320004
93,20.6320004
95,20.8320004
97,21.0320004
99,21.2320004
101,21.4320004
103,21.6320004
105,21.8320004
107,22.0320004
109,22.2320004
110,22.3320004
112,22.5320004
114,22.7320004
116,22.9320004
118,23.1320004
120,23.3320004
122,23.5320004
124,23.7320004
126,23.9320004
128,24.1320004
130,24.3320004
132,24.5320004
133,24.6320004
135,24.8320004
137,25.0320004
139,25.2320004
141,25.4320004
143,25.6320004
145,25.8320004
147,26.0320004
149,26.2320004
151,26.4320004
153,26.6320004
155,26.8320004
157,27.0320004
158,27.1320004
160,27.3320004
162,27.5320004
164,27.7320004
166,27.9320004
168,28.1320004
170,28.3320004
172,28.5320004
174,28.7320004
176,28.9320004
178,29.1320004
180,29.3320004
181,29.4320004
183,29.6320004
185,29.8320004
187,30.0320004
189,30.2320004
191,30.4320004
193,30.6320004
