CC,AP
CC1,10.41538059
CC2,10.51538059
CC3,10.61538059
CC4,10.71538059
CC5,10.81538059
CC6,10.91538059
CC7,11.01538059
CC8,11.11538059
CC9,11.21538059
CC10,11.31538059
CC11,11.41538059
CC12,11.51538059
CC13,11.61538059
CC14,11.71538059
CC15,11.81538059
CC16,11.91538059
CC17,12.01538059
CC18,12.11538059
CC19,12.21538059
CC20,12.31538059
CC21,12.41538059
CC22,12.51538059
CC23,12.61538059
CC24,12.71538059
CC25,12.81538059
CC26,12.91538059
CC27,13.01538059
CC28,13.11538059
CC29,13.21538059
CC30,13.31538059
CC31,13.41538059
CC32,13.51538059
CC33,13.61538059
CC34,13.71538059
CC35,13.81538059
CC36,13.91538059
CC37,14.01538059
CC38,14.11538059
CC39,14.21538059
CC40,14.31538059
CC41,14.41538059
CC42,14.51538059
CC43,14.61538059
CC44,14.71538059
CC45,14.81538059
CC46,14.91538059
CC47,15.01538059
CC48,15.11538059
CC49,15.21538059
CC50,15.31538059
CC51,15.41538059
CC52,15.51538059
CC53,15.61538059
CC54,15.71538059
CC55,15.81538059
CC56,15.91538059
CC57,16.01538059
CC58,16.11538059
