location,mu,coef,stderr,tau,wt,model_function
0,0.000705,0.011576682,0.007419803,0.1,0.055661962,z*logit
25,2.478036191,0.008490031,0.0058058,0.1,0.047905848,z*logit
50,3.307628344,0.00746082,0.005722188,0.1,0.038397271,z*logit
75,4.007952618,0.007271491,0.006499066,0.1,0.030661308,z*logit
0,0.000705,0.041281815,0.025047427,0.1,0.064511713,log(z)*logit
25,2.478036191,0.024792529,0.016251876,0.1,0.052763526,log(z)*logit
50,3.307628344,0.021574997,0.015801751,0.1,0.041716864,log(z)*logit
75,4.007952618,0.021161806,0.018075185,0.1,0.032546237,log(z)*logit
0,0.000705,0.011106928,0.007215774,0.2,0.053841431,z*logit
25,2.478036191,0.009862117,0.006885855,0.2,0.04581034,z*logit
50,3.307628344,0.009989546,0.007367745,0.2,0.041136904,z*logit
75,4.007952618,0.010721674,0.008375414,0.2,0.037201915,z*logit
0,0.000705,0.038393387,0.02358484,0.2,0.062270542,log(z)*logit
25,2.478036191,0.030693587,0.02027444,0.2,0.051776994,log(z)*logit
50,3.307628344,0.030556254,0.021305536,0.2,0.045946055,log(z)*logit
75,4.007952618,0.03255972,0.024044804,0.2,0.041040776,log(z)*logit
5,0.966512311,0.034890797,0.021582614,0.1,0.061216759,log(z)*logit
-5,-0.965102311,0.043867043,0.026519547,0.1,0.065143321,log(z)*logit
-10,-1.498045165,0.044322485,0.026783667,0.1,0.065213935,log(z)*logit
-15,-1.909864003,0.044482441,0.026876723,0.1,0.065236285,log(z)*logit
,,0.011905406,0.007636973,,,pure linear
,,0.161062717,0.101466847,,,pure log
